paper,question_text,question_type,options,correct_answer,module_name
p5_nov,某人跑了200米，用了5秒，他的速率是每秒多少米？,multiple_choice,"['A. 40米/秒', 'B. 45米/秒', 'C. 50米/秒', 'D. 35米/秒']",A. 40米/秒,速率計算
p5_nov,1/2 + 1/3 = ___,fill_in_number,,5/6,分數四則運算
p5_nov,1/4 + 3/8 = ___,fill_in_number,,5/8,分數四則運算
p5_nov,7/10 - 2/5 = ___,fill_in_number,,3/10,分數四則運算
p5_nov,一個班有120人，其中4/5的學生完成了作業，完成作業的有多少人？,fill_in_number,,96,分數四則運算
p5_nov,三角形的底是20cm，高是18cm，面積是___cm²,fill_in_number,,180,幾何面積
p5_nov,2/3 ___ 3/4（填入 >、< 或 =）,fill_in,,<,分數比較
p5_jan,3.45和3.450哪個較大？,multiple_choice,"['A. 3.45較大', 'B. 3.450較大', 'C. 一樣大', 'D. 無法比較']",C. 一樣大,小數與比較
p5_jan,一輛汽車以時速60公里行駛2.5小時，共行了多少公里？,multiple_choice,"['A. 62.5公里', 'B. 120公里', 'C. 150公里', 'D. 160公里']",C. 150公里,速率計算
p5_jan,三角形面積的計算公式是？,multiple_choice,"['A. 底 × 高', 'B. 底 × 高 ÷ 2', 'C. 底 + 高', 'D. 底 × 高 × 2']",B. 底 × 高 ÷ 2,幾何面積
p5_jan,長方形長8cm、寬5cm，面積是多少？,multiple_choice,"['A. 26cm²', 'B. 26cm', 'C. 40cm²', 'D. 80cm²']",C. 40cm²,幾何面積
p5_jan,行程時間的計算公式是？,multiple_choice,"['A. 距離 × 速率', 'B. 距離 ÷ 速率', 'C. 速率 ÷ 距離', 'D. 速率 × 距離']",B. 距離 ÷ 速率,速率計算
p5_jan,2.5 ÷ 0.05 = ?,multiple_choice,"['A. 5', 'B. 50', 'C. 500', 'D. 0.05']",B. 50,小數與比較
p5_jan,一輛汽車時速60公里，行駛4小時，共行了___公里,fill_in_number,,240,速率計算
p5_jan,120公里的路程，以時速5公里行走，需要___小時,fill_in_number,,24,速率計算
p5_jan,正方形面積25cm²，它的邊長是___cm,fill_in_number,,5,幾何面積
p5_jan,4.5 - 2.5 = ___,fill_in_number,,2,小數與比較
p5_jan,一輛汽車時速60公里，行駛0.5小時，走了___公里,fill_in_number,,30,速率計算
p5_jan,某人以每分鐘3米的速率步行，走135米需要___分鐘,fill_in_number,,45,速率計算
p5_mar,$500加20%是多少？,multiple_choice,"['A. $520', 'B. $600', 'C. $550', 'D. $620']",B. $600,百分比計算
p5_mar,5³ = ?,multiple_choice,"['A. 15', 'B. 125', 'C. 50', 'D. 555']",B. 125,立體體積
p5_mar,四次測驗的分數分別是80、90、85、85，平均分是多少？,multiple_choice,"['A. 85分', 'B. 84分', 'C. 86分', 'D. 87分']",A. 85分,平均數計算
p5_mar,某商品打八折後售價$320，原價是多少？,multiple_choice,"['A. $400', 'B. $360', 'C. $380', 'D. $420']",A. $400,百分比計算
p5_mar,長方體長10cm、寬8cm、高5cm，體積是多少？,multiple_choice,"['A. 400cm³', 'B. 300cm³', 'C. 450cm³', 'D. 500cm³']",A. 400cm³,立體體積
p5_mar,一班40人，其中35%喜歡數學，有多少人喜歡數學？,multiple_choice,"['A. 14人', 'B. 16人', 'C. 12人', 'D. 18人']",A. 14人,圓形圖解讀
p5_mar,$100加20%是$___,fill_in_number,,120,百分比計算
p5_mar,6³ = ___,fill_in_number,,216,立體體積
p5_mar,兩次測驗的分數分別是80分和95分，平均分是___分,fill_in_number,,87.5,平均數計算
p5_mar,長方體長9cm、寬7cm、高4cm，體積是___cm³,fill_in_number,,252,立體體積
p5_mar,正方形邊長20cm，面積是___cm²,fill_in_number,,400,立體體積
p5_mar,一班40人，其中60%的學生喜歡運動，有___人喜歡運動,fill_in_number,,24,圓形圖解讀
p5_may,某商品原價$600，打七折再減$50，現價是多少？,multiple_choice,"['A. $370', 'B. $350', 'C. $400', 'D. $420']",A. $370,折扣應用
p5_may,3 : 5 = x : 40，x = ?,multiple_choice,"['A. 18', 'B. 24', 'C. 30', 'D. 15']",B. 24,比與比例
p5_may,一個水壺容量1500mL，每杯250mL，可以倒多少杯？,multiple_choice,"['A. 5杯', 'B. 6杯', 'C. 7杯', 'D. 8杯']",B. 6杯,體積與容量
p5_may,成本$200，售價$250，利潤率是多少？,multiple_choice,"['A. 20%', 'B. 25%', 'C. 50%', 'D. 80%']",B. 25%,折扣應用
p5_may,2x + 8 = 24，x = ?,multiple_choice,"['A. 4', 'B. 8', 'C. 16', 'D. 6']",B. 8,一元一次方程
p5_may,一個長方形水缸長80cm、寬50cm、高40cm，容量是多少升？,multiple_choice,"['A. 160升', 'B. 16升', 'C. 1600升', 'D. 0.16升']",A. 160升,體積與容量
p5_may,原價$900，打八折，售價$___,fill_in_number,,720,折扣應用
p5_may,a : b = 4 : 5，a = 20，b = ___,fill_in_number,,25,比與比例
p5_may,x - 15 = 20，x = ___,fill_in_number,,35,一元一次方程
p5_may,5x - 2 = 63，x = ___,fill_in_number,,13,一元一次方程
p5_may,長方形水缸長80cm、寬50cm、高18cm，容量是___cm³,fill_in_number,,72000,體積與容量
p5_may,一個圓柱形容器底面積500cm²、高7cm，容積是___cm³,fill_in_number,,3500,體積與容量
